,time,value,date
0,00:00:00,0,2016-04-28
1,00:15:00,0,2016-04-28
2,00:30:00,0,2016-04-28
3,00:45:00,0,2016-04-28
4,01:00:00,5,2016-04-28
5,01:15:00,0,2016-04-28
6,01:30:00,0,2016-04-28
7,01:45:00,50,2016-04-28
8,02:00:00,0,2016-04-28
9,02:15:00,0,2016-04-28
10,02:30:00,0,2016-04-28
11,02:45:00,0,2016-04-28
12,03:00:00,9,2016-04-28
13,03:15:00,7,2016-04-28
14,03:30:00,0,2016-04-28
15,03:45:00,12,2016-04-28
16,04:00:00,0,2016-04-28
17,04:15:00,0,2016-04-28
18,04:30:00,0,2016-04-28
19,04:45:00,0,2016-04-28
20,05:00:00,0,2016-04-28
21,05:15:00,0,2016-04-28
22,05:30:00,0,2016-04-28
23,05:45:00,0,2016-04-28
24,06:00:00,0,2016-04-28
25,06:15:00,0,2016-04-28
26,06:30:00,0,2016-04-28
27,06:45:00,0,2016-04-28
28,07:00:00,0,2016-04-28
29,07:15:00,0,2016-04-28
30,07:30:00,0,2016-04-28
31,07:45:00,5,2016-04-28
32,08:00:00,18,2016-04-28
33,08:15:00,0,2016-04-28
34,08:30:00,0,2016-04-28
35,08:45:00,0,2016-04-28
36,09:00:00,0,2016-04-28
37,09:15:00,1254,2016-04-28
38,09:30:00,684,2016-04-28
39,09:45:00,254,2016-04-28
40,10:00:00,9,2016-04-28
41,10:15:00,0,2016-04-28
42,10:30:00,36,2016-04-28
43,10:45:00,489,2016-04-28
44,11:00:00,0,2016-04-28
45,11:15:00,128,2016-04-28
46,11:30:00,0,2016-04-28
47,11:45:00,24,2016-04-28
48,12:00:00,0,2016-04-28
49,12:15:00,0,2016-04-28
50,12:30:00,360,2016-04-28
51,12:45:00,111,2016-04-28
52,13:00:00,8,2016-04-28
53,13:15:00,266,2016-04-28
54,13:30:00,694,2016-04-28
55,13:45:00,693,2016-04-28
56,14:00:00,145,2016-04-28
57,14:15:00,0,2016-04-28
58,14:30:00,0,2016-04-28
59,14:45:00,0,2016-04-28
60,15:00:00,0,2016-04-28
61,15:15:00,0,2016-04-28
62,15:30:00,0,2016-04-28
63,15:45:00,0,2016-04-28
64,16:00:00,0,2016-04-28
65,16:15:00,0,2016-04-28
66,16:30:00,0,2016-04-28
67,16:45:00,0,2016-04-28
