,time,value,date
0,00:00:00,9,2016-04-25
1,00:15:00,7,2016-04-25
2,00:30:00,58,2016-04-25
3,00:45:00,0,2016-04-25
4,01:00:00,21,2016-04-25
5,01:15:00,0,2016-04-25
6,01:30:00,97,2016-04-25
7,01:45:00,0,2016-04-25
8,02:00:00,0,2016-04-25
9,02:15:00,0,2016-04-25
10,02:30:00,13,2016-04-25
11,02:45:00,0,2016-04-25
12,03:00:00,18,2016-04-25
13,03:15:00,0,2016-04-25
14,03:30:00,0,2016-04-25
15,03:45:00,0,2016-04-25
16,04:00:00,0,2016-04-25
17,04:15:00,0,2016-04-25
18,04:30:00,0,2016-04-25
19,04:45:00,0,2016-04-25
20,05:00:00,0,2016-04-25
21,05:15:00,0,2016-04-25
22,05:30:00,0,2016-04-25
23,05:45:00,0,2016-04-25
24,06:00:00,0,2016-04-25
25,06:15:00,0,2016-04-25
26,06:30:00,8,2016-04-25
27,06:45:00,0,2016-04-25
28,07:00:00,7,2016-04-25
29,07:15:00,0,2016-04-25
30,07:30:00,0,2016-04-25
31,07:45:00,0,2016-04-25
32,08:00:00,0,2016-04-25
33,08:15:00,0,2016-04-25
34,08:30:00,0,2016-04-25
35,08:45:00,0,2016-04-25
36,09:00:00,0,2016-04-25
37,09:15:00,8,2016-04-25
38,09:30:00,0,2016-04-25
39,09:45:00,9,2016-04-25
40,10:00:00,49,2016-04-25
41,10:15:00,29,2016-04-25
42,10:30:00,0,2016-04-25
43,10:45:00,0,2016-04-25
44,11:00:00,0,2016-04-25
45,11:15:00,6,2016-04-25
46,11:30:00,21,2016-04-25
47,11:45:00,7,2016-04-25
48,12:00:00,11,2016-04-25
49,12:15:00,988,2016-04-25
50,12:30:00,1747,2016-04-25
51,12:45:00,154,2016-04-25
52,13:00:00,30,2016-04-25
53,13:15:00,14,2016-04-25
54,13:30:00,22,2016-04-25
55,13:45:00,572,2016-04-25
56,14:00:00,341,2016-04-25
57,14:15:00,1076,2016-04-25
58,14:30:00,1737,2016-04-25
59,14:45:00,137,2016-04-25
60,15:00:00,0,2016-04-25
61,15:15:00,0,2016-04-25
62,15:30:00,0,2016-04-25
63,15:45:00,0,2016-04-25
64,16:00:00,903,2016-04-25
65,16:15:00,1215,2016-04-25
66,16:30:00,15,2016-04-25
67,16:45:00,242,2016-04-25
68,17:00:00,0,2016-04-25
69,17:15:00,6,2016-04-25
70,17:30:00,24,2016-04-25
71,17:45:00,28,2016-04-25
72,18:00:00,0,2016-04-25
73,18:15:00,614,2016-04-25
74,18:30:00,1706,2016-04-25
75,18:45:00,1553,2016-04-25
76,19:00:00,0,2016-04-25
77,19:15:00,392,2016-04-25
78,19:30:00,254,2016-04-25
79,19:45:00,480,2016-04-25
80,20:00:00,0,2016-04-25
81,20:15:00,101,2016-04-25
82,20:30:00,0,2016-04-25
83,20:45:00,14,2016-04-25
84,21:00:00,0,2016-04-25
85,21:15:00,0,2016-04-25
86,21:30:00,0,2016-04-25
87,21:45:00,0,2016-04-25
88,22:00:00,9,2016-04-25
89,22:15:00,94,2016-04-25
90,22:30:00,215,2016-04-25
91,22:45:00,54,2016-04-25
92,23:00:00,145,2016-04-25
93,23:15:00,0,2016-04-25
94,23:30:00,43,2016-04-25
95,23:45:00,62,2016-04-25
