,time,value,date
0,00:00:00,45,2016-04-26
1,00:15:00,168,2016-04-26
2,00:30:00,34,2016-04-26
3,00:45:00,30,2016-04-26
4,01:00:00,27,2016-04-26
5,01:15:00,0,2016-04-26
6,01:30:00,0,2016-04-26
7,01:45:00,0,2016-04-26
8,02:00:00,0,2016-04-26
9,02:15:00,0,2016-04-26
10,02:30:00,0,2016-04-26
11,02:45:00,35,2016-04-26
12,03:00:00,0,2016-04-26
13,03:15:00,0,2016-04-26
14,03:30:00,0,2016-04-26
15,03:45:00,8,2016-04-26
16,04:00:00,0,2016-04-26
17,04:15:00,0,2016-04-26
18,04:30:00,0,2016-04-26
19,04:45:00,0,2016-04-26
20,05:00:00,0,2016-04-26
21,05:15:00,0,2016-04-26
22,05:30:00,15,2016-04-26
23,05:45:00,0,2016-04-26
24,06:00:00,0,2016-04-26
25,06:15:00,0,2016-04-26
26,06:30:00,0,2016-04-26
27,06:45:00,0,2016-04-26
28,07:00:00,0,2016-04-26
29,07:15:00,0,2016-04-26
30,07:30:00,0,2016-04-26
31,07:45:00,27,2016-04-26
32,08:00:00,0,2016-04-26
33,08:15:00,0,2016-04-26
34,08:30:00,0,2016-04-26
35,08:45:00,0,2016-04-26
36,09:00:00,0,2016-04-26
37,09:15:00,0,2016-04-26
38,09:30:00,867,2016-04-26
39,09:45:00,1630,2016-04-26
40,10:00:00,0,2016-04-26
41,10:15:00,97,2016-04-26
42,10:30:00,0,2016-04-26
43,10:45:00,225,2016-04-26
44,11:00:00,19,2016-04-26
45,11:15:00,0,2016-04-26
46,11:30:00,0,2016-04-26
47,11:45:00,709,2016-04-26
48,12:00:00,155,2016-04-26
49,12:15:00,148,2016-04-26
50,12:30:00,99,2016-04-26
51,12:45:00,534,2016-04-26
52,13:00:00,0,2016-04-26
53,13:15:00,0,2016-04-26
54,13:30:00,0,2016-04-26
55,13:45:00,639,2016-04-26
56,14:00:00,30,2016-04-26
57,14:15:00,1559,2016-04-26
58,14:30:00,986,2016-04-26
59,14:45:00,6,2016-04-26
60,15:00:00,202,2016-04-26
61,15:15:00,0,2016-04-26
62,15:30:00,0,2016-04-26
63,15:45:00,0,2016-04-26
64,16:00:00,0,2016-04-26
65,16:15:00,0,2016-04-26
66,16:30:00,0,2016-04-26
67,16:45:00,0,2016-04-26
68,17:00:00,22,2016-04-26
69,17:15:00,23,2016-04-26
70,17:30:00,37,2016-04-26
71,17:45:00,9,2016-04-26
72,18:00:00,26,2016-04-26
73,18:15:00,0,2016-04-26
74,18:30:00,0,2016-04-26
75,18:45:00,0,2016-04-26
76,19:00:00,130,2016-04-26
77,19:15:00,1331,2016-04-26
78,19:30:00,814,2016-04-26
79,19:45:00,504,2016-04-26
80,20:00:00,29,2016-04-26
81,20:15:00,12,2016-04-26
82,20:30:00,0,2016-04-26
83,20:45:00,0,2016-04-26
84,21:00:00,0,2016-04-26
85,21:15:00,0,2016-04-26
86,21:30:00,245,2016-04-26
87,21:45:00,0,2016-04-26
88,22:00:00,0,2016-04-26
89,22:15:00,200,2016-04-26
90,22:30:00,1505,2016-04-26
91,22:45:00,670,2016-04-26
92,23:00:00,39,2016-04-26
93,23:15:00,0,2016-04-26
94,23:30:00,29,2016-04-26
95,23:45:00,0,2016-04-26
