,time,value,date
0,00:00:00,6,2016-04-27
1,00:15:00,0,2016-04-27
2,00:30:00,7,2016-04-27
3,00:45:00,0,2016-04-27
4,01:00:00,0,2016-04-27
5,01:15:00,35,2016-04-27
6,01:30:00,0,2016-04-27
7,01:45:00,40,2016-04-27
8,02:00:00,0,2016-04-27
9,02:15:00,0,2016-04-27
10,02:30:00,9,2016-04-27
11,02:45:00,0,2016-04-27
12,03:00:00,75,2016-04-27
13,03:15:00,0,2016-04-27
14,03:30:00,0,2016-04-27
15,03:45:00,0,2016-04-27
16,04:00:00,0,2016-04-27
17,04:15:00,0,2016-04-27
18,04:30:00,0,2016-04-27
19,04:45:00,11,2016-04-27
20,05:00:00,0,2016-04-27
21,05:15:00,0,2016-04-27
22,05:30:00,0,2016-04-27
23,05:45:00,0,2016-04-27
24,06:00:00,0,2016-04-27
25,06:15:00,0,2016-04-27
26,06:30:00,0,2016-04-27
27,06:45:00,0,2016-04-27
28,07:00:00,0,2016-04-27
29,07:15:00,0,2016-04-27
30,07:30:00,0,2016-04-27
31,07:45:00,11,2016-04-27
32,08:00:00,0,2016-04-27
33,08:15:00,35,2016-04-27
34,08:30:00,905,2016-04-27
35,08:45:00,1188,2016-04-27
36,09:00:00,0,2016-04-27
37,09:15:00,0,2016-04-27
38,09:30:00,0,2016-04-27
39,09:45:00,1149,2016-04-27
40,10:00:00,1478,2016-04-27
41,10:15:00,955,2016-04-27
42,10:30:00,1432,2016-04-27
43,10:45:00,6,2016-04-27
44,11:00:00,86,2016-04-27
45,11:15:00,0,2016-04-27
46,11:30:00,5,2016-04-27
47,11:45:00,568,2016-04-27
48,12:00:00,78,2016-04-27
49,12:15:00,0,2016-04-27
50,12:30:00,177,2016-04-27
51,12:45:00,476,2016-04-27
52,13:00:00,19,2016-04-27
53,13:15:00,0,2016-04-27
54,13:30:00,7,2016-04-27
55,13:45:00,0,2016-04-27
56,14:00:00,562,2016-04-27
57,14:15:00,60,2016-04-27
58,14:30:00,0,2016-04-27
59,14:45:00,36,2016-04-27
60,15:00:00,129,2016-04-27
61,15:15:00,27,2016-04-27
62,15:30:00,42,2016-04-27
63,15:45:00,160,2016-04-27
64,16:00:00,659,2016-04-27
65,16:15:00,15,2016-04-27
66,16:30:00,0,2016-04-27
67,16:45:00,0,2016-04-27
68,17:00:00,0,2016-04-27
69,17:15:00,636,2016-04-27
70,17:30:00,839,2016-04-27
71,17:45:00,1756,2016-04-27
72,18:00:00,417,2016-04-27
73,18:15:00,0,2016-04-27
74,18:30:00,0,2016-04-27
75,18:45:00,862,2016-04-27
76,19:00:00,1549,2016-04-27
77,19:15:00,12,2016-04-27
78,19:30:00,0,2016-04-27
79,19:45:00,0,2016-04-27
80,20:00:00,0,2016-04-27
81,20:15:00,0,2016-04-27
82,20:30:00,0,2016-04-27
83,20:45:00,0,2016-04-27
84,21:00:00,0,2016-04-27
85,21:15:00,0,2016-04-27
86,21:30:00,0,2016-04-27
87,21:45:00,0,2016-04-27
88,22:00:00,188,2016-04-27
89,22:15:00,35,2016-04-27
90,22:30:00,146,2016-04-27
91,22:45:00,318,2016-04-27
92,23:00:00,0,2016-04-27
93,23:15:00,10,2016-04-27
94,23:30:00,61,2016-04-27
95,23:45:00,0,2016-04-27
