,time,value,date
0,00:00:00,34,2016-04-23
1,00:15:00,24,2016-04-23
2,00:30:00,9,2016-04-23
3,00:45:00,44,2016-04-23
4,01:00:00,9,2016-04-23
5,01:15:00,0,2016-04-23
6,01:30:00,0,2016-04-23
7,01:45:00,0,2016-04-23
8,02:00:00,8,2016-04-23
9,02:15:00,5,2016-04-23
10,02:30:00,0,2016-04-23
11,02:45:00,0,2016-04-23
12,03:00:00,0,2016-04-23
13,03:15:00,0,2016-04-23
14,03:30:00,0,2016-04-23
15,03:45:00,0,2016-04-23
16,04:00:00,6,2016-04-23
17,04:15:00,17,2016-04-23
18,04:30:00,0,2016-04-23
19,04:45:00,0,2016-04-23
20,05:00:00,0,2016-04-23
21,05:15:00,0,2016-04-23
22,05:30:00,0,2016-04-23
23,05:45:00,0,2016-04-23
24,06:00:00,0,2016-04-23
25,06:15:00,0,2016-04-23
26,06:30:00,0,2016-04-23
27,06:45:00,0,2016-04-23
28,07:00:00,0,2016-04-23
29,07:15:00,0,2016-04-23
30,07:30:00,0,2016-04-23
31,07:45:00,0,2016-04-23
32,08:00:00,0,2016-04-23
33,08:15:00,0,2016-04-23
34,08:30:00,0,2016-04-23
35,08:45:00,0,2016-04-23
36,09:00:00,0,2016-04-23
37,09:15:00,0,2016-04-23
38,09:30:00,0,2016-04-23
39,09:45:00,0,2016-04-23
40,10:00:00,0,2016-04-23
41,10:15:00,0,2016-04-23
42,10:30:00,0,2016-04-23
43,10:45:00,0,2016-04-23
44,11:00:00,0,2016-04-23
45,11:15:00,0,2016-04-23
46,11:30:00,0,2016-04-23
47,11:45:00,0,2016-04-23
48,12:00:00,0,2016-04-23
49,12:15:00,0,2016-04-23
50,12:30:00,0,2016-04-23
51,12:45:00,0,2016-04-23
52,13:00:00,0,2016-04-23
53,13:15:00,0,2016-04-23
54,13:30:00,0,2016-04-23
55,13:45:00,0,2016-04-23
56,14:00:00,12,2016-04-23
57,14:15:00,0,2016-04-23
58,14:30:00,956,2016-04-23
59,14:45:00,1115,2016-04-23
60,15:00:00,1534,2016-04-23
61,15:15:00,39,2016-04-23
62,15:30:00,9,2016-04-23
63,15:45:00,21,2016-04-23
64,16:00:00,21,2016-04-23
65,16:15:00,24,2016-04-23
66,16:30:00,17,2016-04-23
67,16:45:00,51,2016-04-23
68,17:00:00,24,2016-04-23
69,17:15:00,0,2016-04-23
70,17:30:00,20,2016-04-23
71,17:45:00,20,2016-04-23
72,18:00:00,1535,2016-04-23
73,18:15:00,874,2016-04-23
74,18:30:00,780,2016-04-23
75,18:45:00,66,2016-04-23
76,19:00:00,6,2016-04-23
77,19:15:00,27,2016-04-23
78,19:30:00,576,2016-04-23
79,19:45:00,9,2016-04-23
80,20:00:00,314,2016-04-23
81,20:15:00,1250,2016-04-23
82,20:30:00,1118,2016-04-23
83,20:45:00,90,2016-04-23
84,21:00:00,204,2016-04-23
85,21:15:00,132,2016-04-23
86,21:30:00,0,2016-04-23
87,21:45:00,0,2016-04-23
88,22:00:00,0,2016-04-23
89,22:15:00,7,2016-04-23
90,22:30:00,18,2016-04-23
91,22:45:00,51,2016-04-23
92,23:00:00,28,2016-04-23
93,23:15:00,0,2016-04-23
94,23:30:00,331,2016-04-23
95,23:45:00,22,2016-04-23
