,time,status
0,07:38:00,1
1,07:39:00,2
2,07:40:00,1
3,07:41:00,1
4,07:42:00,1
5,07:43:00,2
6,07:44:00,1
7,07:45:00,1
8,07:46:00,1
9,07:47:00,1
10,07:48:00,1
11,07:49:00,1
12,07:50:00,1
13,07:51:00,1
14,07:52:00,1
15,07:53:00,1
16,07:54:00,1
17,07:55:00,1
18,07:56:00,1
19,07:57:00,1
20,07:58:00,1
21,07:59:00,1
22,08:00:00,1
23,08:01:00,1
24,08:02:00,1
25,08:03:00,1
26,08:04:00,1
27,08:05:00,1
28,08:06:00,1
29,08:07:00,1
30,08:08:00,1
31,08:09:00,1
32,08:10:00,1
33,08:11:00,1
34,08:12:00,1
35,08:13:00,1
36,08:14:00,1
37,08:15:00,1
38,08:16:00,1
39,08:17:00,1
40,08:18:00,1
41,08:19:00,1
42,08:20:00,1
43,08:21:00,1
44,08:22:00,1
45,08:23:00,1
46,08:24:00,1
47,08:25:00,1
48,08:26:00,1
49,08:27:00,1
50,08:28:00,1
51,08:29:00,1
52,08:30:00,1
53,08:31:00,1
54,08:32:00,1
55,08:33:00,1
56,08:34:00,1
57,08:35:00,1
58,08:36:00,1
59,08:37:00,1
60,08:38:00,1
61,08:39:00,1
62,08:40:00,1
63,08:41:00,1
64,08:42:00,1
65,08:43:00,1
66,08:44:00,1
67,08:45:00,1
68,08:46:00,1
69,08:47:00,1
70,08:48:00,1
71,08:49:00,1
72,08:50:00,1
73,08:51:00,1
74,08:52:00,1
75,08:53:00,1
76,08:54:00,1
77,08:55:00,1
78,08:56:00,1
79,08:57:00,1
80,08:58:00,1
81,08:59:00,1
82,09:00:00,1
83,09:01:00,1
84,09:02:00,1
85,09:03:00,1
86,09:04:00,1
87,09:05:00,1
88,09:06:00,1
89,09:07:00,1
90,09:08:00,1
91,09:09:00,1
92,09:10:00,1
93,09:11:00,1
94,09:12:00,1
95,09:13:00,1
96,09:14:00,1
97,09:15:00,1
98,09:16:00,1
99,09:17:00,1
100,09:18:00,1
101,09:19:00,1
102,09:20:00,1
103,09:21:00,1
104,09:22:00,1
105,09:23:00,1
106,09:24:00,1
107,09:25:00,1
108,09:26:00,1
109,09:27:00,1
110,09:28:00,1
111,09:29:00,1
112,09:30:00,1
113,09:31:00,1
114,09:32:00,1
115,09:33:00,1
116,09:34:00,1
117,09:35:00,1
118,09:36:00,1
119,09:37:00,1
120,09:38:00,1
121,09:39:00,1
122,09:40:00,1
123,09:41:00,1
124,09:42:00,1
125,09:43:00,1
126,09:44:00,1
127,09:45:00,1
128,09:46:00,1
129,09:47:00,1
130,09:48:00,1
131,09:49:00,1
132,09:50:00,1
133,09:51:00,1
134,09:52:00,1
135,09:53:00,1
136,09:54:00,1
137,09:55:00,1
138,09:56:00,1
139,09:57:00,1
140,09:58:00,1
141,09:59:00,1
142,10:00:00,1
143,10:01:00,1
144,10:02:00,1
145,10:03:00,1
146,10:04:00,1
147,10:05:00,1
148,10:06:00,1
149,10:07:00,1
150,10:08:00,1
151,10:09:00,1
152,10:10:00,1
153,10:11:00,1
154,10:12:00,1
155,10:13:00,1
156,10:14:00,1
157,10:15:00,1
158,10:16:00,1
159,10:17:00,1
160,10:18:00,1
161,10:19:00,1
162,10:20:00,1
163,10:21:00,1
164,10:22:00,1
165,10:23:00,1
166,10:24:00,1
167,10:25:00,1
168,10:26:00,1
169,10:27:00,1
170,10:28:00,1
171,10:29:00,1
172,10:30:00,1
173,10:31:00,1
174,10:32:00,1
175,10:33:00,1
176,10:34:00,1
177,10:35:00,1
178,10:36:00,1
179,10:37:00,1
180,10:38:00,1
181,10:39:00,1
182,10:40:00,1
183,10:41:00,1
184,10:42:00,1
185,10:43:00,1
186,10:44:00,1
187,10:45:00,1
188,10:46:00,1
189,10:47:00,1
190,10:48:00,1
191,10:49:00,1
192,10:50:00,1
193,10:51:00,2
194,10:52:00,2
195,10:53:00,2
196,10:54:00,2
197,10:55:00,2
198,10:56:00,2
199,10:57:00,2
200,10:58:00,2
201,10:59:00,1
202,11:00:00,1
203,11:01:00,1
204,11:02:00,1
205,11:03:00,1
206,11:04:00,1
207,11:05:00,1
208,11:06:00,1
209,11:07:00,1
210,11:08:00,1
211,11:09:00,1
212,11:10:00,1
213,11:11:00,1
214,11:12:00,1
215,11:13:00,1
216,11:14:00,1
217,11:15:00,1
218,11:16:00,1
219,11:17:00,2
220,11:18:00,1
221,11:19:00,1
